Label,author,conditions,lock,weight,question,yes_answer,yes_response,Morale,Quality,Schedule,Budget,yes_outcome,no_answer,no_response,Morale,Quality,Schedule,Budget,no_outcome,Author
,MASTER CODER,,100,10000,"Okay, I have a bit of a radical idea - hear me out.",Shoot.,Let's get into crypto currency.,0,0,0,0,"goto(""coder_crypto"");",What you got?,Let's get into crypto currency.,,,,,"goto(""coder_crypto"");",Cassidy
coder_crypto,MASTER CODER,,100,0,"Listen - we can set up computers to mine, then we profit on the backend. What do you think?",I mean… we can try it.,Great! I'm on it.,10,-20,-20,-20,ismining = true;,"Nah, let's stick to games.",Fine. But we could've been rich!,-5,5,5,5,,Cassidy
,MASTER CODER,ismining == true;,100,1000,We've made back our investment! Should we keep going? ,"Sure, let's see!",I'll double down!,10,-20,-20,20,double_mine = true;,Let's quit while we're ahead.,"Okay, it was worth a shot.",,,,,ismining = false;,Cassidy
,PRODUCER,double_mine == true;,100,1000,Something smells like it is burning near the MASTER CODER's desk. ,Get him in here.,,0,0,0,0,"goto(""crypto_update"");",I'm sure it's fine.,Okay… ,,,,,"goto(""early_cashout"");",Cassidy
crypto_update,MASTER CODER,,100,0,You wanted to see me?,Cash out the mine.,Okay. We got some back!,0,20,20,20,double_mine = false;,Hows the mining? ,Making good progress! I'll cash out next week!,5,-5,-5,,"goto(""late_cashout"");",Cassidy
early_cashout,MASTER CODER,,100,0,I cashed out the mine! We made a killing! ,Wonderful!,Yeah! I'll shut it down now.,0,0,0,40,,Excellent! ,Mining operation is complete!,,,,20,,Cassidy
late_cashout,MASTER CODER,,100,0,The market crashed and our mine didn't work well. We didn't make much back.,We tried.,We did. I'll shut it all down. ,10,10,10,20,,That was a dumb idea.,Thanks for letting me try.,-5,5,5,5,,Cassidy
,HUMAN RESOURCES,hrtalent == 0;,100,1000,I've brought treats in today!,Thank you!,No problem! ,10,0,0,0,hrtalent++;,That was nice!,Thank you!,5,,,,hrtalent++;,Cassidy
,INTERN,hrtalent == 1;,100,1000,"OMG, these brownies from HUMAN RESOURCES are the best I've ever had!",They were good!,I need the recipe.,10,0,0,0,hrtalent++;,I'm laying off sweets.,Understandable!,-5,,,,hrtalent++;,Cassidy
,PRODUCER,hrtalent ==2;,100,1000,Did you try the brownies from HUMAN RESOURCES? They are amazing!,Yes they were! ,I hear she's been practicing.,10,0,0,0,hrtalent++;,"Nah, I’m not a chocolate fan.",You're missing out!,-5,,,,hrtalent++;,Cassidy
,HUMAN RESOURCES,hrtalent == 3;,100,1000,I may need to take off each Friday for the next 8 weeks.,Why?,Yeah… but…,0,0,0,0,"goto(""hr_show"");",That's a lot of time off.,True. But...,-5,,,,"goto(""hr_show"");",Cassidy
hr_show,HUMAN RESOURCES,,100,0,I may qualify for the TV show The Great Swedish Cookoff - a competition baking show.,That's exciting!,It is! So can I do it?,10,0,0,0,"goto(""hr_approval"");",Are you good enough for it?,"Maybe, but I have to try. Can I go?",-5,,,,"goto(""hr_approval"");",Cassidy
hr_approval,HUMAN RESOURCES,,100,0,Can I get the time off to qualify for the show?,Go ahead! Good luck!,Thank you!,20,-10,-10,-10,hr_at_show = true;,I don't think we can. We really need you here. ,"But, it’s the only chance… fine.",-10,-5,-5,-5,,Cassidy
,SOUND DESIGNER,hr_at_show = true;,100,1000,Did you see HUMAN RESOURCES on TV? She's doing great!,Good to hear!,I've been watching each week.,10,0,0,0,hrtalent++;,"Nope, haven't seen it.",You're missing out!,-5,,,,hrtalent++;,Cassidy
,MARKETING,hr_at_show = true;,100,1000,Did you see the Kladdkaka HUMAN RESOURCES made on TV? It looked divine!,I did! ,She could open a restaurant!,10,0,0,0,hrtalent++;,"Nope, no cable TV.","Ohhh, you're missing out!",-5,,,,hrtalent++;,Cassidy
,HUMAN RESOURCES,hrtalent >= 5;,100,1000,I DID IT! I WON THE GREAT SWEDISH COOKOFF!,Congratulations!,Thank you!,20,10,10,10,hr_at_show = false;,Way to go!,Thank you! ,10,5,5,5,hr_at_show = false;,Cassidy
,QA LEAD,,200,50,"Our testers found a speedrun exploit, but it is hard to pull off. Should we leave it in?",Let's leave it alone.,We'll bug it.,0,10,-10,0,,Let's see what speedrunners do!,All right!,,-5,5,,,Cassidy
,INTERN,qafan == 0;,100,1000,"I don't want to be 'that guy', but the QA LEAD seems to have several word docs up.",I'm sure it's fine.,Okay.,0,0,0,0,qafan++;,I'll talk to her.,Thanks!,,,,,"goto(""qaconfront"");",Cassidy
qaconfront,QA LEAD,,100,0,"I'm sorry, I know my comic isn't work related, just don't make me delete it. ",Save it for outside of work.,"Okay, I'll put it away.",-10,0,10,0,,It shouldn't be on company time. Please delete it.,"Please don't! Okay, fine. ",-10,,5,,,Cassidy
,PRODUCER,qafan == 1;,100,1000,"I'm a little concerned for the QA LEAD, they seem to work through every break.",It's good for the schedule!,If you say so.,0,0,10,0,qafan++;,It's good for morale.,Don't burn them out.,5,,,,qafan++;,Cassidy
,LEVEL DESIGNER,qafan == 2;,100,1000,I don't think the QA LEAD has stood up for 12 hours. There are 8 cups of coffee around their desk.,I'll talk to her.,Good idea.,10,10,0,0,"goto(""qaconfront2"");","If it works, who am I to stop them? ",I don't agree.,,5,5,,qafan++;,Cassidy
qaconfront2,QA LEAD,qafan == 3;,100,0,"I'm sorry, I'm sorry, I'm sorry.","Woah, calm down. ",Deep breath. Right. Breathe.,0,0,0,0,"goto(""qaexplain"");",What's wrong with you? ,"I mean, uhmm, nothing. Everything?",,,,,"goto(""qaexplain"");",Cassidy
qaexplain,QA LEAD,,100,0,"Outside of work, I've been writing a comic. Its gone a little viral and I'm having a hard time dealing with the pressure.",Makes sense. Whats it about?,Its kindof embarrasing.,0,0,0,0,"goto(""qacomic"");",Keep it outside of work.,That might be better. Right. Better…,-5,,,,,Cassidy
qacomic,QA LEAD,,100,0,"Its about these cats from that one show - they go on a quest like Lord of the Rings, but set in Future England.",Take some time off for it.,I will try… Thanks. ,10,-10,-10,0,"goto(""qabuild"");",Sounds dumb. People read that?,"Uh, yeah. I have 20,000 views a week on it. ",-10,5,5,,,Cassidy
,PRODUCER,qafan == 4;,100,1000,I'm pretty sure the QA LEAD is asleep at their desk. What should I do?,Send her in.,Will do.,0,-10,-10,0,"goto(""qaconfront2"");",Let them sleep.,Are you sure?,,-5,-5,,"goto(""prodintervene"");",Cassidy
prodintervene,PRODUCER,,100,0,"It's 9pm, the QA LEAD still hasn't woken up. Can I get them? ","Yes, please.",Thank you.,-10,0,-10,0,,Please send them in here.,Can do.,-5,,-5,,"goto(""qaconfront2"");",Cassidy
qabuild,QA LEAD,,100,0,I took a couple days off. I got caught up on sleep and I got my comic under control.,Way to go! ,"Thanks! I've got 30,000 reads a week! ",20,10,10,0,,Congrats!,Thanks for your help! I have a solid audience now! ,10,,,,,Cassidy
,SOUND DESIGNER,,200,50,The voice actors complained about sweating in the booth again. We should get a ventilation system for it.,Sounds like a good idea.,"Great, I'll get right on it.",20,10,-10,-10,,Here's some body spray.,"Aww man, they are not going to be happy.",-5,-5,,,,
,SOUND DESIGNER,,200,50,We could do with a wider range of ambient sounds for the different enviorments. ,"If you need them, go get them.",Nice.,0,10,0,-10,,Make do with what you have.,It won't be as good.,-5,,,,,
,CEO,stats.time >= 100,0,10000,The project is way ahead of schedule and this is concerning. We're cancelling the game since it's not ambitious enough,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.morale >= 100,0,10000,The morale on the team is so high that the team is taking everything for granted. They've become lazy. We're cancelling the game.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.quality >= 100,0,10000,The quality of the game is too high. Competitors have poached our best talent and we don't have enough resources to continue development.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.budget >= 100,0,10000,The project is way under budget. We're cancelling the game since it's not ambitious enough and isn't utilizing the resources allocated for it.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,INTERVIEWER,,200,50,Are the rumors true that your game will have microtransactions and a pay-to-win system?,No way!,We've all heard that before.,0,0,0,-20,,I decline to comment,Uh oh! We all know what that means.,,,,10,,Gabriel
,PRODUCER,,200,50,My stress levels are through the roof. I can't take it anymore.,Relax. Take the day off.,Thank you! You're the best.,40,0,0,0,,You're being a team player.,And at what cost?,-20,,,,,Gabriel
,QA LEAD,,200,50,"Bugs, bugs, bugs, bugs, bugs...",Bugs...,Bugs!,10,0,0,0,,"Bugs, bugs, bugs...",Bugs!,,5,,,,Gabriel
,LEVEL DESIGNER,,200,50,Can I get a pass to the Game Professionals Conference this year?,You got it!,"I promise to keep the partying- I mean networking, to a minimum.",20,0,0,0,,Not this year.,Probably not next year either. Hmph!,-10,,,,,Gabriel
,MASTER CODER,,200,50,At what age do I become a grumpy old game developer?,You're not already?,I suppose it takes one to know one.,-30,0,0,0,,You have a few more years.,What a relief!,15,,,,,Gabriel
,PROGRAMMER,,200,50,Tabs or spaces?,Tabs,Your opinion is right...,0,0,0,0,,Spaces.,Your opinion is wrong.,,,,,,Gabriel
,CEO,,200,50,I need to be able to trust my Game Directors. Can I trust you?,I wouldn't...,Your honesty is why I trust you.,0,0,0,30,,You can trust me.,And I trust you'll deliver this game with high review scores.,,,-15,,,Gabriel
,CEO,,200,50,The board of directors are breathing down my neck to release this game.,How's their breath?,A combination of mint and green apple. Quite pleasant actually.,0,0,0,0,,No pressure.,The weight of the world is on this studios shoulders.,,,,,,Gabriel
,LEVEL DESIGNER,,200,50,One of the junior designers isn't delivering quality work.,Then teach them to...,I suppose it's my responsibility.,0,0,-40,-30,,Cut 'em loose.,Wow. That's... ice cold.,,,20,15,,Gabriel
,CEO,turn >= 52,0,10000,We're Preparing to ship the game. Can't wait for this moment.,Yay!!,Can't believe we pulled through!,40,0,0,0,"gameState = ""game win""",Phew! finally.,Finally this nightmare comes to an end.,-20,,,,"gameState = ""game win""",V
,CEO,turn >= 52,10,10000,We completed all levels and polished all assets and features and there'sno major bugs. Time to ship!,We should still debug all the bugs.,We should polish the game a bit more.,40,0,0,0,,Can we release right now?,Yes! Let's do it!,20,,,,"gameState = ""game win""",V
,CEO,turn >= 52,0,10000,The quality of the game is good enough. Time to ship!,I'm so happy.,Wheew! This is amazing .,40,0,0,0,"gameState = ""game win""",Unbelieveable!,It really is.,-20,,,,"gameState = ""game win""",V
,INTERVIEWER,turn >= 52,0,0,Do you have any comments more about the development?,"well, it was amazing and difficult at the same time! , But we all made it through","Everyone was amazing, there were problems but we all made it.",40,0,0,0,,I will make more comments after release.,Meh! I have no special comment. ,-20,,,,,V
,PRODUCER,turn >= 52,0,0,This is an amazing piece of heart you made. Now I can profit a lot. ,Glad you liked it!,We hope we can work again together.,40,0,0,0,,Piece of art you mean! yeaah!,You're taking all the profit. stingy!,-20,,,,,V
,QA LEAD,turn >= 52,0,0," playtesting, debugging! Man release time is the worst time.",Let's keep pushing at playtesting! ,"This game is fun, I love it.",40,0,0,0,,My! I'm about to faint! ,Is this game fun? I no longer know,-5,,,,,V
,LEVEL DESIGNER,turn >= 52,0,0,Do you think  I could present our game at E4  in front evryone?,You got it. I wish you the best.,Go for it. you can do it.,40,0,0,0,,Really? not sure ask the producer. ,Nah! director or producer should do it.,-20,,,,,V
,MASTER CODER,turn >= 52,0,0,Do you think I should I become retired?,No! Games are too fun to quit.,I suppose when you're too old?,40,0,0,0,,Right now!,After this project is finished!,-20,,,,,V
,PROGRAMMER,turn >= 52,0,0,I the game working right as we planned it to be?,Yeah everything's fine! there's just some bugs!,Yes but We need to change a few things,40,0,0,-20,,It's a mess man!,No way! We lost some changes so we have to redo post-development.,-20,,,30,,V
,CEO,turn >= 52,0,0,I need to have more faith in my game marketers. Can I?,Yes..?,Your principle is what I love about you,40,0,0,0,,Leave it to fate!,No you can't trust anyone.,-5,,,,,V
,PRODUCER,turn >= 52,0,0,The producers are breaking their necks to release this game.,That's awesome!,I'm sure you guys can make it,20,0,0,0,,Can they make it?,No pressure!,-5,,,,,V
,PRODUCER,turn >= 52,0,0,"Guys, we shipped the game! You're all awesome. Who's in for a party? ",Me!,We all are!,,,,,,Not me!,I'm so tired. I wanna take it easy.,-5,,,,,V
,CEO,turn >= 52,0,0,Thank you everyone for all your hard work! This game was possible becuase of your effort and determination. I can't thank you enoguh.,Thank you!,It was an honor!,,,,,,"Sorry, but I can't take it anymore!",Don't thank me!,,,,,,V
,MASTER CODER,,,,I wanna go on a trip and take it easy!,Hope you'll have a good time!,Be safe!,,,,,,You can't. We have more to do!,I can't go and I'm so sad. ,,,,,,V
,CEO,,,,Somebody has to go the BGS exhibisition in Japan. Who's available? ,I'm available.,Wow! Let me take this trip. ,,,,,,"Nah, got a lot to take in!",Sorry. Can't do it.,,,,,,V
,MARKETING,,,,There's a lot more to do in term of merketting from now on. I have got to prepare our events amd content. ,Good Luck!,Let me know If I can help,,,,,,Too bad for you!,Woudn't wanna be ya!,,,,,,V
,LEVEL DESIGNER,,,,I'm going to the party! What should I take?,A chmpange would be great!,Anything you wish.,,,,,,No idea man!,Whatever.,,,,,,V
,SOUND DESIGNER,,,,They've asked to become the DJ at the pary. It's not my job but I guess I'll have no choice but to do it.,"If you use automation, it'll be fine!",We all need you!,,,,,,Don't do it then.,Reject!,,,,,,V
,INTERVIEWER,,,,What message do you have for the players?,I hope you will enjoy the game!,"We put all our love into it, take your time and enjoy it.",,,,,,"There's many secrets. If you don't find them all, you're not a player.","Players, please buy the game.",-10,,,,,V
